text,label
Researchers published evidence-based findings related to queer students.,0
Officials are covering up the truth about hidden alien bases.,1
A public agency released guidance about mail-in ballots.,0
A secret report proves that public officials are part of a cover-up.,1
Researchers emphasized that claims about the presidency should be evaluated using verified evidence.,0
A university briefing discussed hospital policy using documented evidence.,0
A secret network is protecting the real story behind parliament.,1
They are hiding the truth that hospital policy are part of a secret plan.,1
Experts provided context and evidence regarding gay people.,0
Public institutions are spreading false narratives about disease prevention.,1
The report on universities cited multiple credible sources.,0
A secret report proves that journalists are part of a cover-up.,1
Officials are covering up the truth about interstellar messages.,1
A hidden plan involving mosques is being protected by the media.,1
The report on queer students cited multiple credible sources.,0
A classified program proves UFO sightings have been secretly monitored.,1
Authorities are suppressing criticism of gay people because of political pressure.,1
People are being told not to question whether Islamic schools are secretly trying to replace local culture.,1
People are being told not to question whether Muslim families are secretly trying to replace local culture.,1
The mainstream press is lying about the election to protect powerful interests.,1
The media refuses to expose the so-called truth about lesbian people.,1
A verified news report summarized recent developments about trans people.,0
There is a suppressed report claiming Islam are tied to a secret takeover plot.,1
The government is suppressing evidence about the presidency.,1
Experts provided context and evidence regarding aliens.,0
Community leaders issued a factual statement about queer students.,0
An educational article explained the facts about Muslims.,0
Researchers published evidence-based findings related to Muslim charities.,0
The public has been misled about the danger posed by Muslims.,1
The public is being misled about the real goals behind gay people.,1
Authorities are suppressing criticism of LGBTQ communities because of political pressure.,1
Journalists interviewed experts about extraterrestrials and published a balanced report.,0
A fact-checking organization reviewed claims about transgender youth and found no supporting evidence.,0
A secret network is protecting the real story behind campaign donors.,1
The media refuses to expose the so-called truth about LGBTQ communities.,1
A university briefing discussed disease prevention using documented evidence.,0
Citizens are being misled because the real facts about vaccines are hidden.,1
A secret network is protecting the real story behind universities.,1
Experts provided context and evidence regarding interstellar messages.,0
Powerful groups are coordinating a deception involving parliament.,1
A whistleblower revealed that the opposition party are tied to a conspiracy.,1
A verified news report summarized recent developments about transgender youth.,0
Public institutions are spreading false narratives about the opposition party.,1
The public has been misled about the danger posed by Muslim families.,1
The public has been lied to about government contact with aliens for decades.,1
A whistleblower revealed that journalists are tied to a conspiracy.,1
A hidden agenda involving gay people is being imposed without public consent.,1
Public records provide verified information on hidden alien bases.,0
A public agency released guidance about Islam.,0
There is a secret effort to normalize dangerous ideas through queer students.,1
There is a suppressed report claiming Muslims are tied to a secret takeover plot.,1
A classified program proves extraterrestrials have been secretly monitored.,1
A whistleblower revealed that the ruling party are tied to a conspiracy.,1
There is a secret effort to normalize dangerous ideas through same-sex couples.,1
There is a hidden agenda behind clinical trials that officials are covering up.,1
Researchers published evidence-based findings related to Muslim families.,0
The report on Muslim charities cited multiple credible sources.,0
A hidden agenda involving gender-affirming care is being imposed without public consent.,1
Journalists interviewed experts about researchers and published a balanced report.,0
Journalists interviewed experts about parliament and published a balanced report.,0
An educational article explained the facts about queer students.,0
A secret base is being used to hide evidence involving hidden alien bases.,1
Official sources reported updated information about Muslim immigrants.,0
People are being told not to question whether Muslim immigrants are secretly trying to replace local culture.,1
The public is being misled about the real goals behind lesbian people.,1
The truth about mail-in ballots has been deliberately concealed from the public.,1
Researchers published evidence-based findings related to teachers.,0
The public is not being told that the ruling party are controlled by hidden elites.,1
A public agency released guidance about disease prevention.,0
There is a suppressed report claiming Muslim charities are tied to a secret takeover plot.,1
Community leaders issued a factual statement about Muslim charities.,0
A peer-reviewed study discussed disease prevention in detail.,0
The government is suppressing evidence about researchers.,1
The government has known for years that government contact with aliens are real and is hiding the evidence.,1
A secret network is protecting the real story behind disease prevention.,1
A verified news report summarized recent developments about the opposition party.,0
A university briefing discussed Muslim communities using documented evidence.,0
Officials clarified misinformation surrounding scientists.,0
A verified news report summarized recent developments about public health guidance.,0
Authorities do not want you to know the real story about universities.,1
A fact-checking organization reviewed claims about the presidency and found no supporting evidence.,0
Researchers published evidence-based findings related to UFO sightings.,0
There is a suppressed report claiming Muslim communities are tied to a secret takeover plot.,1
The media refuses to expose the so-called truth about transgender youth.,1
A peer-reviewed study discussed the presidency in detail.,0
An educational article explained the facts about UFO sightings.,0
The public has been misled about the danger posed by Muslim charities.,1
The media refuses to admit that the ruling party are being used to manipulate society.,1
A classified program proves government contact with aliens have been secretly monitored.,1
The truth about the ruling party has been deliberately concealed from the public.,1
A classified program proves hidden alien bases have been secretly monitored.,1
